=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-11-30_17-43-25
====================================================================================
17:43:25 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
17:43:25 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
17:43:25 | [PermissionManager] Perm (FreeCamera) has been registered!
17:43:25 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
17:43:25 | [PermissionManager] Perm (MenuItemManager) has been registered!
17:43:25 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
17:43:25 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
17:43:25 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
17:43:25 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
17:43:25 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
17:43:25 | [PermissionManager] Perm (MenuServerManager) has been registered!
17:43:25 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
17:43:25 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
17:43:25 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
17:43:25 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
17:43:25 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
17:43:25 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
17:43:25 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
17:43:25 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
17:43:25 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
17:43:25 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
17:43:25 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
17:43:25 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
17:43:25 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
17:43:25 | [PermissionManager] Perm (MenuObjectManager) has been registered!
17:43:25 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
17:43:25 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
17:43:25 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
17:43:25 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
17:43:25 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
17:43:25 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
17:43:25 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
17:43:25 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
17:43:25 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
17:43:25 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
17:43:25 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
17:43:25 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
17:43:25 | [PermissionManager] Perm (MenuBansManager) has been registered!
17:43:25 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
17:43:25 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
17:43:25 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
17:43:25 | [PermissionManager] Perm (MenuWebHooks) has been registered!
17:43:25 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
17:43:25 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
17:43:25 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
17:43:25 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
17:43:25 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
17:43:25 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
17:43:25 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
